day,date,time,activity_title,type,location,latitude,longitude,duration,description,notes
2,2026-03-04,14:00,Lunch at Bhojohori Manna,restaurant,Bhojohori Manna - 18B Elgin Road Kolkata,22.5367,88.3594,60 min,Award-winning authentic Bengali home-style food,Must try kosha mangsho and ilish macher jhol
2,2026-03-04,15:30,Howrah Bridge Walk,attraction,Howrah Bridge Kolkata,22.5851,88.3468,60 min,Iconic 705 m cantilever bridge over Hooghly; Mullick Ghat flower market below,Flower market busiest at dawn; bridge walk free
2,2026-03-04,17:00,Belur Math,attraction,Belur Math Belur Howrah,22.6269,88.3564,90 min,HQ of Ramakrishna Mission; blend of Hindu Islamic and Christian architecture,Closes 5:30 PM; very peaceful; cross the Hooghly by ferry from Dakshineshwar
2,2026-03-04,21:00,Dinner at 6 Ballygunge Place,restaurant,6 Ballygunge Place Kolkata,22.5248,88.366,90 min,Acclaimed refined Bengali cuisine in heritage setting,Try dab chingri and mishti doi; advance booking essential
3,2026-03-05,07:00,Kalighat Kali Temple Morning Visit,attraction,Kalighat Temple Kalighat Kolkata,22.5213,88.3432,90 min,One of 51 Shakti Peethas; most sacred Kali temple in Kolkata,Leave valuables at hotel; mornings less crowded than evenings
3,2026-03-05,09:30,Birla Planetarium Show,attraction,Birla Planetarium Chowringhee South Kolkata,22.5459,88.3484,90 min,Largest planetarium in Asia; immersive astronomy shows,Check show timings; English shows available
3,2026-03-05,11:30,New Market Shopping,attraction,New Market Hogg Market Lindsay Street Kolkata,22.5585,88.3545,120 min,Sprawling 1874 market with 2000+ shops; textiles spices electronics handicrafts,Bargaining is standard; secure your bags
3,2026-03-05,14:00,Lunch at Nizam's Restaurant,restaurant,Nizam's Restaurant New Market Kolkata,22.5629,88.3503,60 min,Home of original Kolkata Kathi Roll since 1932,Try the egg chicken kathi roll; iconic street-food institution
3,2026-03-05,15:30,College Street Boi Para,attraction,College Street Kolkata,22.578,88.363,90 min,Largest second-hand book market in the world; rare and vintage books,Budget shopping for books; haggle freely
3,2026-03-05,17:00,Indian Coffee House,restaurant,Indian Coffee House - 15 Bankim Chatterjee Street Kolkata,22.578,88.363,60 min,Iconic 1876 café where Tagore and intellectuals gathered,Order the cutlet and cold coffee; timeless atmosphere
3,2026-03-05,20:30,Dinner at Arsalan,restaurant,Arsalan - Park Circus Kolkata,22.5395,88.3673,90 min,Legendary Kolkata biryani; aloo gobi biryani is unmissable,Always crowded; arrive early or expect wait
4,2026-03-06,08:00,Dakshineswar Kali Temple,attraction,Dakshineswar Kali Temple Dakshineswar Kolkata,22.6546,88.3578,120 min,Famous riverside Kali temple associated with Ramakrishna Paramahamsa,Take Metro to Dakshineswar station; busy weekends
4,2026-03-06,10:30,Hooghly River Ferry Ride,transport,Dakshineswar Ghat Ferry Terminal Kolkata,22.6546,88.3578,30 min,Cross the Hooghly to Belur Math by ferry; scenic river crossing,Rs 10 per person; runs every hour
4,2026-03-06,11:30,Marble Palace,attraction,Marble Palace Muktaram Babu Street North Kolkata,22.5917,88.3573,90 min,19th-century Raj-era mansion with paintings sculptures and rare art collection,Prior permission from tourism office required; free entry with permit
4,2026-03-06,13:30,Lunch at Kewpies Kitchen,restaurant,Kewpies Kitchen Elgin Lane Kolkata,22.5335,88.355,75 min,Intimate home-restaurant serving authentic Bengali thali,Small place; reservation mandatory; incredible thali experience
4,2026-03-06,15:30,Jorasanko Thakur Bari,attraction,Jorasanko Thakur Bari Dwarakanath Tagore Lane Kolkata,22.5824,88.3641,90 min,Ancestral mansion of Rabindranath Tagore; now Rabindra Bharati Museum,Closes 5 PM; significant cultural landmark; photography inside restricted
4,2026-03-06,17:30,South Park Street Cemetery,attraction,South Park Street Cemetery Park Street Kolkata,22.544,88.355,45 min,18th-century British-era gothic cemetery; colonial history,Free entry; hidden gem; eerie beauty at dusk
4,2026-03-06,20:00,Dinner at Oudh 1590,restaurant,Oudh 1590 Rawdon Street Kolkata,22.534,88.356,90 min,Awadhi and Lucknowi fine dining with old-world decor,Galouti kebab and biryani are stars; book ahead
5,2026-03-07,08:00,Breakfast at Dolly's Tea Shop,restaurant,Dolly's Tea Shop Dakshinapan Kolkata,22.4858,88.3647,45 min,Charming tea boutique with 100+ varieties of tea and light snacks,Try Darjeeling first flush and Assam gold
5,2026-03-07,09:30,Science City Kolkata,attraction,Science City Eastern Metropolitan Bypass Kolkata,22.5351,88.3954,150 min,India's largest science centre; space theatre evolution park VR gallery,Great for all ages; Rs 60 entry; separate charges for shows
5,2026-03-07,12:30,Rabindra Sarobar Lake Walk,attraction,Rabindra Sarobar Lake Tollygunge Kolkata,22.5063,88.3464,60 min,Peaceful 73-acre urban lake; morning walkers and birdwatching,Best in mornings; photography paradise in winter
5,2026-03-07,14:00,Lunch at Kasturi,restaurant,Kasturi - 3 Sambhu Nath Pandit Street Kolkata,22.5239,88.3502,60 min,Iconic Bengali sweets and full meals; local favourite for traditional food,Try sandesh rasgolla and complete Bengali thali
5,2026-03-07,16:00,Birla Mandir,attraction,Birla Mandir Ashutosh Chowdhury Avenue Kolkata,22.5243,88.3547,60 min,White marble temple dedicated to Radha-Krishna; stunning architecture,Open all day; no photography inside
5,2026-03-07,17:30,Gariahat Market Shopping,attraction,Gariahat Market Gariahat Kolkata,22.5178,88.3636,90 min,Bustling neighbourhood market; sarees kurtis handicrafts and daily shopping,Great for authentic Kolkata shopping experience; bargain freely
5,2026-03-07,20:00,Dinner at Oh Calcutta,restaurant,Oh Calcutta Forum Mall Elgin Road Kolkata,22.5229,88.3631,90 min,Refined modern Bengali cuisine in upscale setting,Try chingri malaikari and mustard hilsa; great wine list
6,2026-03-08,08:30,Morning at Mohun Bagan Club Area,attraction,Mohun Bagan Athletic Club Maidan Kolkata,22.5479,88.3411,60 min,Legendary 1889 football club grounds; Maidan morning walk atmosphere,Football matches played here; largest sport ground complex in India
6,2026-03-08,10:00,St Paul's Cathedral,attraction,St Pauls Cathedral Cathedral Road Kolkata,22.5477,88.347,60 min,Magnificent Anglican cathedral built 1847; Indo-Gothic architecture,Free entry; morning light is beautiful inside
6,2026-03-08,11:30,Metcalfe Hall and Around BBD Bagh,attraction,BBD Bagh Dalhousie Square Kolkata,22.569,88.349,90 min,Colonial heart of Kolkata; GPO Writers Building Metcalfe Hall,History walk territory; self-guided or hire local guide
6,2026-03-08,13:30,Lunch at Aminia,restaurant,Aminia - New Market Area Kolkata,22.562,88.352,60 min,Classic Mughlai and biryani restaurant established in 1929,Mutton biryani and rezala are must-order dishes
6,2026-03-08,15:00,National Library of India,attraction,National Library Belvedere Estate Alipore Kolkata,22.5345,88.3308,75 min,Largest library in India; colonial Belvedere House heritage building,Entry free; research library; beautiful grounds
6,2026-03-08,17:00,Alipore Zoological Gardens,attraction,Alipore Zoological Gardens Alipore Kolkata,22.5275,88.3307,90 min,Oldest zoo in India established 1876; rare white tigers and pygmy hippos,Closes at 5 PM; entry Rs 30; get there by 3:30 PM
6,2026-03-08,20:30,Dinner at The Blue and Beyond,restaurant,The Blue and Beyond Lindsay Street Kolkata,22.558,88.356,90 min,Rooftop restaurant with panoramic city views and Continental Bengali menu,Best at night for city lights; try mustard bhetki
7,2026-03-09,08:00,Sundarbans Day Trip Departure,transport,Esplanade Bus Terminal Kolkata,22.5639,88.3525,30 min,Early departure for Sundarbans National Park; UNESCO World Heritage Site,Book day tour in advance; ~3 hr drive; carry insect repellent
7,2026-03-09,11:00,Sundarbans Boat Safari,attraction,Sajnekhali Wildlife Sanctuary Sundarbans West Bengal,21.9306,88.8356,180 min,Boat safari through mangrove delta; spot Royal Bengal Tigers and crocodiles,Most sightings at dawn and dusk; binoculars recommended
7,2026-03-09,14:30,Lunch at Forest Rest House,restaurant,Sajnekhali Forest Rest House Sundarbans,21.9306,88.8356,60 min,Simple meal at the forest rest house or packed lunch from hotel,Pack lunch from hotel for better options
7,2026-03-09,16:00,Sundarbans Watch Tower,attraction,Sajnekhali Watch Tower Sundarbans,21.9306,88.8356,60 min,Elevated watch tower overlooking mangrove creeks; bird and deer sightings,Tigers occasionally spotted from tower in late afternoon
7,2026-03-09,20:00,Return and Dinner at Shiraz,restaurant,Shiraz - Park Circus Kolkata,22.5395,88.3673,90 min,Golden Chain outlet; famous for Kolkata mutton biryani with potato,Classic Kolkata biryani experience
8,2026-03-10,09:00,Digha Beach Day Trip Departure,transport,Esplanade Bus Terminal Kolkata,22.5639,88.3525,30 min,Departure for Digha; nearest sea resort from Kolkata (~5 hr bus),Book Rocket Service or AC bus from SBSTC; buy tickets in advance
8,2026-03-10,14:00,Digha Beach,attraction,New Digha Beach Digha West Bengal,21.6268,87.5084,180 min,Most popular sea resort in West Bengal; gentle waves coastal food stalls,Swimming not advised due to currents; beach walks are pleasant
8,2026-03-10,17:00,Chandaneswar Temple,attraction,Chandaneswar Shiva Temple Digha Odisha Border,21.6174,87.4674,60 min,Ancient Shiva temple on Odisha border near Digha; scenic wooded area,A short detour from Digha; revered by locals; peaceful ambience
8,2026-03-10,19:00,Seafood Dinner at Digha Beach Stalls,restaurant,Digha Beach Market Digha West Bengal,21.6268,87.5084,60 min,Fresh Bengal Bay seafood; crab prawn fish fry at beachside stalls,Try crab curry and prawn fritters; eat only at busy well-lit stalls
8,2026-03-10,20:30,Return Journey to Kolkata,transport,Digha Bus Terminal Digha West Bengal,21.6268,87.5084,300 min,5-hour return bus to Kolkata Esplanade; overnight return option,Book return ticket before going to Digha; night buses comfortable
